,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
3178,flat,emaar mgf emerald floors premier,sector 65,2.65,16061.0,1650.0,Carpet area: 1650 (153.29 sq.m.),3.0,3.0,3,5.0,North,Relatively New,,,1650.0,1.0,1.0,0.0,0.0,0.0,0.0,37.0,550.0
3179,flat,signature global city,sector 37d,1.25,6083.0,2055.0,Carpet area: 2055 (190.92 sq.m.),3.0,3.0,3,4.0,,Under Construction,,,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,685.0
3180,flat,m3m golfestate,sector 65,6.15,15999.0,3844.0,Carpet area: 3844 (357.12 sq.m.),3.0,5.0,3+,1.0,West,Relatively New,,,3844.0,0.0,1.0,0.0,0.0,0.0,2.0,49.0,1281.3333333333333
3181,house,eros rosewood city,sector 49,4.05,20769.0,1950.0,Plot area 1710(158.86 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1950 sq.ft. (181.16 sq.m.),3.0,3.0,3,2.0,East,Moderately Old,,2000.0,1950.0,0.0,1.0,1.0,0.0,0.0,0.0,46.0,650.0
3182,house,independent,sector 28,1.39,11583.0,1200.0,Plot area 540(50.17 sq.m.)Built Up area: 1450 sq.ft. (134.71 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2.0,2.0,1,3.0,North-East,Old Property,,1450.0,1200.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,600.0
3183,house,independent,sector 40,2.15,23889.0,900.0,Plot area 100(83.61 sq.m.),3.0,3.0,3,3.0,,Moderately Old,,900.0,,1.0,0.0,1.0,1.0,0.0,0.0,45.0,300.0
3184,house,international city by sobha phase 2,sector 109,9.5,26389.0,3600.0,Plot area 400(334.45 sq.m.),7.0,6.0,3,3.0,West,Relatively New,,3600.0,,1.0,1.0,0.0,1.0,0.0,0.0,138.0,514.2857142857143
3185,flat,eldeco accolade,sohna road,0.73,5753.0,1269.0,Super Built up area 1269(117.89 sq.m.),2.0,2.0,3,9.0,North-East,Relatively New,1269.0,,,0.0,0.0,0.0,1.0,0.0,0.0,103.0,634.5
3186,flat,dlf regal gardens,sector 90,1.79,8081.0,2215.0,Carpet area: 2215 (205.78 sq.m.),4.0,3.0,3+,10.0,North-East,Moderately Old,,,2215.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,553.75
3187,flat,godrej,sector 79,1.91,8512.0,2244.0,Super Built up area 2244(208.47 sq.m.),3.0,4.0,3+,7.0,North-East,Relatively New,2244.0,,,0.0,1.0,0.0,0.0,0.0,0.0,158.0,748.0
3188,house,dlf city plot phase 4,sector 28,13.0,17931.0,7250.0,Carpet area: 7250 (6061.92 sq.m.),10.0,10.0,3+,1.0,,Undefined,,,7250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725.0
3189,flat,emaar gurgaon greens,sector 102,1.38,13490.0,1023.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3.0,3.0,3,6.0,North-East,Relatively New,1650.0,,1022.58,0.0,1.0,0.0,0.0,0.0,1.0,128.0,341.0
3190,flat,ireo victory valley,sector 67,2.87,11904.0,2411.0,Super Built up area 2411(223.99 sq.m.)Carpet area: 1808 sq.ft. (167.97 sq.m.),3.0,3.0,3+,16.0,North-West,Relatively New,2411.0,,1808.0,0.0,1.0,0.0,0.0,0.0,1.0,174.0,803.6666666666666
3191,flat,tulip violet,sector 69,1.38,8973.0,1538.0,Super Built up area 1538(142.88 sq.m.),3.0,3.0,1,12.0,East,Relatively New,1538.0,,,0.0,0.0,0.0,0.0,0.0,0.0,157.0,512.6666666666666
3192,flat,ss the leaf,sector 85,1.25,10889.0,1148.0,Super Built up area 1741(161.74 sq.m.)Carpet area: 1148 sq.ft. (106.65 sq.m.),2.0,2.0,3+,17.0,East,Relatively New,1741.0,,1148.0,0.0,0.0,1.0,0.0,0.0,0.0,156.0,574.0
3193,house,independent,sector 24,1.45,2984.0,4860.0,Plot area 60(50.17 sq.m.),3.0,3.0,1,,,Old Property,,540.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1620.0
3194,flat,godrej air,sector 85,1.35,13636.0,990.0,Carpet area: 92,2.0,2.0,3,19.0,,Under Construction,,,92.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,495.0
3195,flat,emaar mgf the palm drive,sector 66,3.2,17778.0,1800.0,Super Built up area 2200(204.39 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3.0,3.0,3,12.0,South-West,Relatively New,2200.0,,1800.0,1.0,1.0,1.0,1.0,0.0,1.0,117.0,600.0
3196,flat,ss the leaf,sector 85,1.99,8660.0,2298.0,Super Built up area 2408(223.71 sq.m.)Built Up area: 2398 sq.ft. (222.78 sq.m.)Carpet area: 2298 sq.ft. (213.49 sq.m.),3.0,4.0,3+,17.0,East,Relatively New,2408.0,2398.0,2298.0,0.0,1.0,0.0,0.0,0.0,1.0,174.0,766.0
3197,flat,adani m2k oyster grande,sector 102,1.9,9104.0,2087.0,Super Built up area 1889(175.49 sq.m.),3.0,4.0,3,8.0,North-East,Relatively New,1889.0,,,0.0,1.0,0.0,0.0,0.0,0.0,165.0,695.6666666666666
3198,flat,hsiidc sidco aravali,sector 1,0.81,3129.0,2589.0,Super Built up area 2588(240.43 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1877 sq.ft. (174.38 sq.m.),3.0,3.0,3+,2.0,South-West,Moderately Old,2588.0,1900.0,1877.0,0.0,1.0,0.0,0.0,0.0,0.0,74.0,863.0
3199,flat,bestech park view residency,sector 2,0.56,8629.0,649.0,Carpet area: 651 (60.48 sq.m.),1.0,2.0,2,7.0,North-East,Moderately Old,,,651.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,649.0
3200,flat,tulip violet,sector 69,1.75,8883.0,1970.0,Super Built up area 1970(183.02 sq.m.),4.0,4.0,1,12.0,North-West,Relatively New,1970.0,,,0.0,0.0,0.0,0.0,0.0,0.0,86.0,492.5
3201,flat,smart world gems,sector 89,0.88,7978.0,1103.0,Built Up area: 1103 (102.47 sq.m.),2.0,2.0,0,2.0,,Undefined,,1103.0,,0.0,0.0,0.0,0.0,0.0,0.0,45.0,551.5
3202,flat,imperia elvedor,sector 37c,0.55,8221.0,669.0,Built Up area: 669 (62.15 sq.m.),1.0,1.0,0,5.0,,Undefined,,669.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,669.0
3203,flat,pioneer araya,sector 62,8.35,19514.0,4279.0,Super Built up area 4279(397.53 sq.m.),4.0,6.0,3,16.0,East,Relatively New,4279.0,,,0.0,1.0,0.0,1.0,0.0,0.0,153.0,1069.75
3204,house,independent,sector 38,3.9,21242.0,1836.0,Plot area 204(170.57 sq.m.),6.0,6.0,3+,3.0,North-East,Moderately Old,,1836.0,,1.0,1.0,0.0,1.0,0.0,0.0,32.0,306.0
